word,x,y,x_mod,y_mod
largest,-6.36662817,-24.72051239,-63.6662817,-247.2051239
cities,-13.80286217,-13.51377296,-138.0286217,-135.1377296
New,-11.78141308,35.23603058,-117.8141308,352.3603058
York,-11.86549854,35.12332153,-118.6549854,351.2332153
Miami,-11.23784351,36.41740417,-112.3784351,364.1740417
well,31.1895256,-44.44291687,311.895256,-444.4291687
question,26.11275482,-2.832183838,261.1275482,-28.32183838
future,-12.73172569,-9.545798302,-127.3172569,-95.45798302
late,0.220325544,13.14698887,2.20325544,131.4698887
turn,9.09341526,0.346916139,90.9341526,3.46916139
back,-31.36841774,-36.17724228,-313.6841774,-361.7724228
taken,11.41939735,32.70398712,114.1939735,327.0398712
worth,11.77271557,-20.82843399,117.7271557,-208.2843399
stopped,13.4961586,-53.16635895,134.961586,-531.6635895
tomorrow,8.523625374,-12.09756374,85.23625374,-120.9756374
That,4.791246891,31.59904671,47.91246891,315.9904671
course,1.745457292,24.00312996,17.45457292,240.0312996
good,2.039547205,-3.430534363,20.39547205,-34.30534363
reducing,-0.906614482,-12.20863628,-9.06614482,-122.0863628
avoid,0.382223874,-11.71135616,3.82223874,-117.1135616
lot,0.179910526,-11.84150791,1.79910526,-118.4150791
would,9.661627769,-12.86148357,96.61627769,-128.6148357
otherwise,13.93125916,-0.141736448,139.3125916,-1.41736448
bring,6.174080372,-16.96482658,61.74080372,-169.6482658
Related,-7.740668297,37.61911011,-77.40668297,376.1911011
Western,-8.636569977,37.08171082,-86.36569977,370.8171082
Dispatch,-10.87957573,38.07102203,-108.7957573,380.7102203
Valley,5.262320518,34.39446259,52.62320518,343.9446259
California,17.47092438,46.3406105,174.7092438,463.406105
Winter,4.624196529,34.65458679,46.24196529,346.5458679
